tag,color,,,
help,#33FF57,,,
animal,#FF5733,,,
jdr mardi,#3357FF,,,
other,#FF33A1,,,
,,,,
id,word,definition,first_time_used,tags
0,Carte X,Action utilisée en jeu de rôle pour signaler au MJ que l'on est inconfortable avec ce que le MJ vient de dire et que l'on souhaite qu'iel change ce qu'iel vient de dire,2023-05-10,help
1,Lueur d'espoir,"Action utilisée en jeu de rôle pour signaler au MJ que l'on est dans une situation compliquée et que l'on aimerait que le MJ change la session prévue pour une session légère, joyeuse et sans enjeu",2023-05-10,help
2,Dégage,"[Perroquet Dracula](https://fr.wikipedia.org/wiki/Psittrichas_de_Pesquet) obtenu lors d’une session de jeu de rôle par [Poulet Rayonnant](words/6) après utilisation d'une [_lueur d'espoir_](words/1)
Les perroquets draculas sont frutivore et Dégage adore les figues, c’est pourquoi il a un sac remplis de figues
![Dégage](https://media.discordapp.net/attachments/1207661343096971284/1377039065819512883/20250527_234048.jpg?ex=6899bad1&is=68986951&hm=42752bcaece1ce7459ffc94c196efd1ad10946e78b1ddb70bb7df721715cfa4f)",2023-05-10,"animal,jdr mardi"
3, Délicatesse,"Outil récupéré lors d’une session de jeu de rôle, utilisé comme arme violente dù à ses lames rotatives. Les viewers ont réussi a marchander un +2 dégâts garanti en échange d'un -2 en capacité de combat quand on tient l'arme
![Délicatesse](https://media.discordapp.net/attachments/1207661343096971284/1404221847351853126/Delicatesse.jpeg?ex=689a6701&is=68991581&hm=596afbefc1c2d6ca7bc1d2b4e0f48105f4ca7b80b17734e5a45d8d0c46bbe78e)",2023-05-10,jdr mardi
4,Foulcamp,"Tout premier animal de compagnie obtenu lors d’une session de jeu de rôle par [Loup Solitaire](words/7), c'est un [Loup](https://fr.wikipedia.org/wiki/Canis_lupusé) qu'on a eu grâce au contrôle mental.
à un moment on a été séparé de lui et de [Kastoi](words/5) Foulcamp a été le dernier à nous retrouver, cepandant Naar l'avait manipulé pour le retourner contre nous en lui disant qu'on l'avait abandonné et que l'on ne l'aimait pas vraiment car on lui avait fait du contrôle mental et qu'en gros on le forçait, alors qu'on a eu une longue dans son esprit pour le récupérer. On a finalement réussi en lui mettant le pouvoir confié par la [st lopez](words/10) en lui et au même moment crée une giga entité divine qui agit a son bon vouloir, mais commence peu à peu à revenir du côté de la lumière",2023-05-10,"animal,jdr mardi"
